N_ch N_D0 N_D N_Ds
47 0 0 0
93 0 0 0
14 0 0 0
22 0 0 0
2 0 0 0
61 1 0 0
75 0 0 0
9 0 0 0
12 0 0 0
1 0 0 0
0 0 0 0
13 0 0 0
8 0 0 0
6 0 0 0
16 0 0 0
39 0 0 0
0 0 0 0
1 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
14 0 0 0
16 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
11 0 0 0
0 0 0 0
0 0 0 0
15 0 0 0
76 0 0 0
43 0 3 0
14 0 0 0
63 0 0 0
0 0 0 0
7 0 0 0
50 0 0 0
12 0 0 0
28 0 0 0
28 0 0 0
0 0 0 0
20 0 0 0
0 0 0 0
53 0 0 0
56 0 0 0
13 0 0 0
0 0 0 0
36 1 1 0
0 0 0 0
70 0 0 0
0 0 0 0
28 1 0 1
0 0 0 0
21 0 0 0
157 0 0 0
0 0 0 0
11 0 0 0
0 0 0 0
124 0 0 0
0 0 0 0
78 0 0 0
47 0 0 0
0 0 0 0
62 0 0 0
109 1 0 0
14 0 0 0
14 0 0 0
0 0 0 0
20 0 0 0
0 0 0 0
8 0 0 0
0 0 0 0
0 0 0 0
12 0 0 0
0 0 0 0
80 0 0 0
146 0 2 0
0 0 0 0
0 0 0 0
90 0 0 0
16 0 0 0
113 0 0 0
35 0 0 0
144 0 2 0
22 0 0 0
13 0 0 0
66 0 0 0
0 0 0 0
0 0 0 0
12 0 0 0
7 0 0 0
27 0 0 0
0 0 0 0
0 0 0 0
14 0 0 0
18 0 0 0
0 0 0 0
16 0 0 0
0 0 0 0
15 0 0 0
0 0 0 0
10 0 0 0
45 0 0 0
0 0 0 0
91 0 0 0
33 0 0 0
49 0 0 0
0 0 0 0
25 0 0 0
0 0 0 0
42 0 0 0
18 0 0 0
0 0 0 0
49 0 0 0
26 0 2 0
39 0 0 0
0 0 0 0
62 0 0 0
29 0 0 0
9 0 0 0
29 0 0 0
38 0 0 0
44 0 0 0
94 0 0 0
126 1 0 0
0 0 0 0
20 2 0 0
47 0 0 0
0 0 0 0
140 0 0 0
0 0 0 0
145 0 0 0
27 0 0 0
63 0 0 0
